Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2018.04.26 10:12
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,PHIPPS_CSL_BUILDING_WINTER ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2928.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,25021.94,8.58,10.39
,Net Site Energy,25021.94,8.58,10.39
,Total Source Energy,79244.50,27.19,32.92
,Net Source Energy,79244.50,27.19,32.92


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,2914.99
,Net Conditioned Building Area,2407.15
,Unconditioned Building Area,507.84


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,5353.59,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,4508.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,964.46,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,9456.56,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,988.11,0.00,0.00,0.00,0.00,0.00
,Fans,1994.43,0.00,0.00,0.00,0.00,0.00
,Pumps,1756.80,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,25021.94,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,1027.05,1232.46,37.77,0.085,0.102,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 13:30:00,0.00,24.31,0.00873,31.44,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,1184.45,1421.35,38.35,0.098,0.117,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 13:30:00,0.00,24.32,0.00872,31.44,0.01415
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,3159.40,3791.28,67.44,0.256,0.307,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 11:20:00,0.00,24.52,0.00844,29.63,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,691.18,829.41,17.87,0.056,0.067,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 14:00:00,0.00,24.48,0.00941,31.70,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,607.53,729.03,21.37,0.050,0.060,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 14:00:00,0.00,24.32,0.00920,31.70,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,691.20,829.44,34.52,0.057,0.068,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 17:20:00,0.00,24.42,0.00881,29.88,0.01415
,2ND%FLOOR%NORTH:2ND%RESTROOMS,267.07,320.48,6.09,0.023,0.067,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 15:00:00,0.00,24.00,0.01111,31.70,0.01415
,2ND%FLOOR%NORTH:2ND%CORRIDOR,924.79,1109.75,31.83,0.079,0.095,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 15:00:00,0.00,24.00,0.00884,31.70,0.01415
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,145.95,175.14,10.60,0.012,0.022,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 15:00:00,0.00,24.00,0.01011,31.70,0.01415
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,984.17,1181.00,46.19,0.081,0.097,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 17:00:00,0.00,24.40,0.00859,30.23,0.01415
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,426.42,511.71,20.44,0.036,0.044,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 18:00:00,0.00,24.00,0.00929,29.18,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,1220.31,1464.37,38.51,0.101,0.121,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 13:30:00,0.00,24.33,0.00872,31.44,0.01415
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,1946.56,2335.87,40.96,0.160,0.192,SUMMER DESIGN DAY IN PHIPPS_CSL_BUILDING,7/15 13:30:00,0.00,24.35,0.00868,31.44,0.01415


Zone Heating

,,Calculated Design Load [W],User Design Load [W],User Design Load per Area [W/m2],Calculated Design Air Flow [m3/s],User Design Air Flow [m3/s],Design Day Name,Date/Time Of Peak,Thermostat Setpoint Temperature at Peak Load [C],Indoor Temperature at Peak Load [C],Indoor Humidity Ratio at Peak Load [kgWater/kgAir],Outdoor Temperature at Peak Load [C],Outdoor Humidity Ratio at Peak Load [kgWater/kgAir]
,1ST%FLOOR:1ST%CONFERENCE,851.41,1021.69,49.02,0.038,0.046,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00681,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,1725.50,2070.60,51.22,0.078,0.093,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00687,-16.80,0.00090
,1ST%FLOOR:1ST%CLASSROOM,5141.24,6169.49,45.83,0.232,0.278,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00675,-16.80,0.00090
,1ST%FLOOR:1ST%VESTIBULE,771.88,926.26,120.33,0.027,0.032,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 09:00:00,15.55,15.55,0.00090,-16.80,0.00090
,1ST%FLOOR:1ST%RESTROOM,1519.03,1822.84,31.43,0.072,0.086,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 24:00:00,0.00,22.00,0.00641,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,851.71,1022.05,40.92,0.038,0.046,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00662,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,1094.17,1313.00,42.49,0.049,0.059,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00666,-16.80,0.00090
,1ST%FLOOR:1ST%BREAK%ROOM,2169.79,2603.74,50.82,0.098,0.117,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00685,-16.80,0.00090
,1ST%FLOOR:1ST%VOLUNTEER%AREA,1819.57,2183.49,47.08,0.082,0.098,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 07:00:00,0.00,21.09,0.00678,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,958.23,1149.87,44.67,0.043,0.052,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00672,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,1539.11,1846.93,44.01,0.069,0.083,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00670,-16.80,0.00090
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,1588.05,1905.65,45.41,0.072,0.086,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00674,-16.80,0.00090
,1ST%FLOOR:1ST%CORRIDOR,913.42,1096.10,60.46,0.043,0.052,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 09:00:00,0.00,22.00,0.00707,-16.80,0.00090
,1ST%FLOOR:1ST%EDCTN%STRG,1043.88,1252.65,39.16,0.049,0.059,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 09:10:00,0.00,22.00,0.00667,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NE,7998.42,9598.10,46.90,0.360,0.433,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00665,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%02,1260.20,1512.24,56.73,0.057,0.068,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00685,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SW,1321.06,1585.28,66.04,0.060,0.071,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00699,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SMW,1918.41,2302.09,51.71,0.086,0.104,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00676,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,1403.22,1683.86,51.61,0.063,0.076,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00675,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,1597.45,1916.94,51.72,0.072,0.086,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00676,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,3516.15,4219.38,75.05,0.158,0.190,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00709,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,1458.45,1750.14,37.72,0.066,0.079,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00640,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,1284.74,1541.68,45.19,0.058,0.069,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00661,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,988.99,1186.79,49.39,0.045,0.053,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00671,-16.80,0.00090
,2ND%FLOOR%NORTH:2ND%RESTROOMS,1922.73,2307.28,43.84,0.091,0.109,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 10:00:00,0.00,22.00,0.00657,-16.80,0.00090
,2ND%FLOOR%NORTH:2ND%CORRIDOR,2568.26,3081.91,88.40,0.122,0.146,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 09:00:00,0.00,22.00,0.00722,-16.80,0.00090
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,620.50,744.60,45.08,0.029,0.035,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 09:30:00,0.00,22.00,0.00657,-16.80,0.00090
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,1824.94,2189.93,85.66,0.082,0.099,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.10,0.00722,-16.80,0.00090
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,1220.00,1464.01,58.48,0.058,0.069,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,22.00,0.00685,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,1640.73,1968.87,51.78,0.074,0.089,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00676,-16.80,0.00090
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,2542.74,3051.29,53.51,0.115,0.138,WINTER DESIGN DAY IN PHIPPS_CSL_BUILDING,1/15 06:00:00,0.00,21.09,0.00679,-16.80,0.00090


System Design Air Flow Rates

,,Calculated cooling [m3/s],User cooling [m3/s],Calculated heating [m3/s],User heating [m3/s]
,AIR LOOP,3.12,3.12,3.07,3.07


Plant Loop Coincident Design Fluid Flow Rate Adjustments

,,Previous Design Volume Flow Rate [m3/s],Algorithm Volume Flow Rate [m3/s],Coincident Design Volume Flow Rate [m3/s],Coincident Size Adjusted,Peak Sizing Period Name,Peak Day into Period,Peak Hour Of Day,Peak Step Start Minute
,None,,,,,,,,


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [m3/s],Maximum Outdoor Air [m3/s],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [C],Outdoor Air Enthalpy Limit [C]
,None,,,,,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [m3/s-person],Outdoor Air Per Area [m3/s-m2],Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule
,None,,,,,,


Time Not Comfortable Based on Simple ASHRAE 55-2004

,,Winter Clothes [hr],Summer Clothes [hr],Summer or Winter Clothes [hr]
,1ST%FLOOR:1ST%CONFERENCE,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,329.50,860.17,323.50
,1ST%FLOOR:1ST%CLASSROOM,0.00,0.00,0.00
,1ST%FLOOR:1ST%VESTIBULE,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESTROOM,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,65.17,1043.00,65.17
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,219.17,835.83,199.17
,1ST%FLOOR:1ST%BREAK%ROOM,0.00,0.00,0.00
,1ST%FLOOR:1ST%VOLUNTEER%AREA,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,253.67,668.67,203.33
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,254.17,714.33,186.17
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,268.67,678.00,198.83
,1ST%FLOOR:1ST%CORRIDOR,0.00,0.00,0.00
,1ST%FLOOR:1ST%EDCTN%STRG,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NE,269.00,229.50,33.00
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%02,222.83,246.00,71.83
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SW,818.33,79.83,14.83
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SMW,722.17,110.17,30.50
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,690.17,118.17,34.67
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,703.83,113.83,32.67
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,639.17,94.00,22.33
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,199.17,748.00,142.50
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,375.83,267.17,74.50
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,287.67,331.50,86.67
,2ND%FLOOR%NORTH:2ND%RESTROOMS,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%CORRIDOR,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,708.33,537.33,301.17
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,706.83,112.17,31.83
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,598.00,86.83,19.33
,1ST%PLENVM:1ST%PLENVM,0.00,0.00,0.00
,1ST%FLOOR:1ST%LOBBY,0.00,0.00,0.00
,1ST%FLOOR:1ST%HVAC%SHAFT,0.00,0.00,0.00
,1ST%FLOOR:1ST%ELECTRICAL%ROOM,0.00,0.00,0.00
,1ST%FLOOR:1ST%PHONE%BOOTH,0.00,0.00,0.00
,1ST%FLOOR:1ST%MCHNCL%RM%01,0.00,0.00,0.00
,1ST%FLOOR:1ST%ELEVATOR%MACHINE,0.00,0.00,0.00
,2ND%PLENVM:2ND%PLENVM%FALSE,0.00,0.00,0.00
,2ND%PLENVM:2ND%PLENVM%NORTH,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%HVAC%SHAFT,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%PHONE%BOOTH,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%LOBBY,0.00,0.00,0.00
,3RD%FLOOR%SHAFT:3RD%HVAC%SHAFT,0.00,0.00,0.00
,3RD%FLOOR%LOWER:3RD%LOWER%LOBBY,0.00,0.00,0.00
,3RD%FLOOR%LOWER:3RD%LOWER%VESTIBULE,0.00,0.00,0.00
,3RD%FLOOR%UPPER:3RD%UPPER%LOBBY,0.00,0.00,0.00
,Facility,931.33,1051.17,386.67
Aggregated over the RunPeriods for Weather


Time Setpoint Not Met

,,During Heating [hr],During Cooling [hr],During Occupied Heating [hr],During Occupied Cooling [hr]
,1ST%FLOOR:1ST%CONFERENCE,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%CLASSROOM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%VESTIBULE,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESTROOM,1639.33,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%BREAK%ROOM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%VOLUNTEER%AREA,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%CORRIDOR,357.67,0.00,0.00,0.00
,1ST%FLOOR:1ST%EDCTN%STRG,470.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NE,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%02,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SW,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SMW,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,0.00,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%RESTROOMS,586.17,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%CORRIDOR,311.83,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,399.50,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,80.33,0.00,8.00,0.00
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,311.83,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,0.00,0.00,0.00,0.00
,1ST%PLENVM:1ST%PLENVM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%LOBBY,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%HVAC%SHAFT,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%ELECTRICAL%ROOM,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%PHONE%BOOTH,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%MCHNCL%RM%01,0.00,0.00,0.00,0.00
,1ST%FLOOR:1ST%ELEVATOR%MACHINE,0.00,0.00,0.00,0.00
,2ND%PLENVM:2ND%PLENVM%FALSE,0.00,0.00,0.00,0.00
,2ND%PLENVM:2ND%PLENVM%NORTH,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%HVAC%SHAFT,0.00,0.00,0.00,0.00
,2ND%FLOOR%SOUTH:2ND%PHONE%BOOTH,0.00,0.00,0.00,0.00
,2ND%FLOOR%NORTH:2ND%LOBBY,0.00,0.00,0.00,0.00
,3RD%FLOOR%SHAFT:3RD%HVAC%SHAFT,0.00,0.00,0.00,0.00
,3RD%FLOOR%LOWER:3RD%LOWER%LOBBY,0.00,0.00,0.00,0.00
,3RD%FLOOR%LOWER:3RD%LOWER%VESTIBULE,0.00,0.00,0.00,0.00
,3RD%FLOOR%UPPER:3RD%UPPER%LOBBY,0.00,0.00,0.00,0.00
,Facility,1639.33,0.00,8.00,0.00
Aggregated over the RunPeriods for Weather


----------------------------------------------------------------------------------------------------
REPORT:,Outdoor Air Summary
FOR:,Entire Facility
Average Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,1ST%FLOOR:1ST%CONFERENCE,,0.83,80.66,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,0.30,0.40,155.03,0.000,0.302,0.000,0.000
,1ST%FLOOR:1ST%CLASSROOM,,2.69,518.06,,,,
,1ST%FLOOR:1ST%VESTIBULE,,0.38,28.68,,,,
,1ST%FLOOR:1ST%RESTROOM,,1.16,217.58,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,0.19,0.25,96.65,0.000,0.302,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,0.23,0.31,119.59,0.000,0.303,0.000,0.000
,1ST%FLOOR:1ST%BREAK%ROOM,,2.05,198.28,,,,
,1ST%FLOOR:1ST%VOLUNTEER%AREA,,0.93,178.60,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,0.19,0.26,99.62,0.000,0.303,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,0.31,0.42,162.42,0.000,0.303,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,0.31,0.42,162.42,0.000,0.303,0.000,0.000
,1ST%FLOOR:1ST%CORRIDOR,,0.91,68.01,,,,
,1ST%FLOOR:1ST%EDCTN%STRG,,0.32,120.02,,,,
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NE,1.53,2.05,885.77,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%02,0.60,0.80,115.59,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SW,0.18,0.24,103.86,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SMW,0.33,0.45,192.62,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,0.24,0.33,141.17,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,0.28,0.37,160.36,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,1.26,1.69,243.26,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,0.35,0.46,200.77,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,0.26,0.34,147.63,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,0.18,0.24,103.96,0.000,0.303,0.000,0.000
,2ND%FLOOR%NORTH:2ND%RESTROOMS,,1.05,241.68,,,,
,2ND%FLOOR%NORTH:2ND%CORRIDOR,,1.72,157.93,,,,
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,,0.17,77.53,,,,
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,0.36,0.48,106.82,0.000,0.302,0.000,0.000
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,,0.75,117.21,,,,
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,0.29,0.38,164.53,0.000,0.303,0.000,0.000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,0.43,0.57,246.75,0.000,0.303,0.000,0.000
Values shown for a single zone without multipliers


Minimum Outdoor Air During Occupied Hours

,,Average Number of Occupants,Nominal Number of Occupants,Zone Volume [m3],Mechanical Ventilation [ach],Infiltration [ach],AFN Infiltration [ach],Simple Ventilation [ach]
,1ST%FLOOR:1ST%CONFERENCE,,0.83,80.66,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,0.30,0.40,155.03,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%CLASSROOM,,2.69,518.06,,,,
,1ST%FLOOR:1ST%VESTIBULE,,0.38,28.68,,,,
,1ST%FLOOR:1ST%RESTROOM,,1.16,217.58,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,0.19,0.25,96.65,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,0.23,0.31,119.59,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%BREAK%ROOM,,2.05,198.28,,,,
,1ST%FLOOR:1ST%VOLUNTEER%AREA,,0.93,178.60,,,,
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,0.19,0.26,99.62,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,0.31,0.42,162.42,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,0.31,0.42,162.42,0.000,0.005,0.000,0.000
,1ST%FLOOR:1ST%CORRIDOR,,0.91,68.01,,,,
,1ST%FLOOR:1ST%EDCTN%STRG,,0.32,120.02,,,,
